cat,label,review
酒店,0,酒店已经很老旧，却刚刚评上四星，就这样的酒店，不如浙江的二星水平，房间卫生间异味很重，浴巾毛巾都有水毛臭，也许是鄙视携程的客户，给的又是一间最靠楼梯的房间，我没有提出换房，觉得下次不会再住这家了，连客房的沙发凳档次都低很多，枉我以前来鞍山都订这里，便宜真正没好货，楼梯道充满澡堂子的味道，商务中心都没有，发个传真还得去销售部，房间里却布满了按摩的纸张广告，有些滑稽。电视机的节目也没有四星标准，凤凰卫视的信号断断续续，还只有图象，其它几个卫星频道也是信号奇差，基本是夹杂着大雪花，没法看；早餐也是典型的东北杂烩，与一众泳客们对坐，实在差劲。我看，一无是处吧，除了便宜，但这样的便宜，不要也罢，我要退房。还想说，评星级的评委一定都各需要一只导盲犬。黑，忒黑。强烈要求携程在鞍山多搜集几家星级酒店，以便有选择余地。
计算机,0,硬盘盖和主机体之间接合不紧密(就是靠近光驱的一端)，有条由窄到宽的缝隙，感觉应该不是故意留出来散热用的。不知道对防尘有否影响。是不是模具的问题？各位的机器有这个问题么?还是我这个机器的个别问题？谢谢
酒店,1,"这个酒店是离科学城最近的一家商务酒店,大堂很气派,有直接从机场到达酒店的四号快线,几次入住过A楼的房间,每次都有常住常新的感觉,这次入住还知道他们又增设了电脑房,下次来要试试,房间的宽带上网速度很快,服务特别好,最方便的一点是他们有开通酒店到科学城的穿梭巴士.以后会常住这个酒店."
洗发水,0,买完就降价了20，谁负责。。。。。。。。。。。。。
书籍,1,拿到书用了六天才看完。最感动的地方要数第三部风华篇了。云峥的死让我哭的稀里哗啦的。看到凤歌一夜白头又忍不住唏嘘。个人心中还是希望女主能和宇公子在一起，看到君北羽在知晓一切时那种孩子气，想要把心爱的人抢回来那种霸气，心中无奈。可是，错过就是错过了。后两部感觉有点恐怖，又是降头又是日本神兽的，我是在晚上看的，脊背都有点冷。
书籍,0,看过嘟嘟和巴豆后，就觉得这本书买怨了。
洗发水,1,宝贝很不错，一直信赖京东，下次还来！
水果,0,我大概买了假的火龙果    照片上看还显大了些…… 那是真真小啊
洗发水,0,洗过头发有点小痒，是不是过期了。
平板,0,太坑了吧！！昨天买的，今天就降￥*！京东垃圾！
蒙牛,0,乜原因啊 香飘飘奶茶不买了 步步高点读机不买了 加多宝凉茶不喝了 伊利不买了 三星不买了 百雀林不买了 蒙牛不买了 爱透不买了 汤臣倍健不买了 东方树叶也不买了
手机,0,我的显示屏有时变色，待机时间较短，不能传送数据。
酒店,1,宾馆比较冷清，大概是五一假期变短的原故。酒店设施比较老旧，但据说在没有悦华前，这也是相当上档次的宾馆。我订的标间，卫生间比较小，房间内有专门供客人自已泡茶的茶桌及茶具，但有茶垢。环境很不错，空气很清新，住宿是在后楼，感觉很清静，只是飞机场距度假区很近，飞机来时噪音较大，总体说来还满意。武夷山的水不太容易洗东西，肥皂不易冲掉，很费劲。
衣服,1,话说是小脚，看到是直筒，真失望，穿着太难看了，
平板,1,"从mate9开始，对华为彻底改观。接着到入手m3,反复挑，荣耀平板等等，上过实体店看，体验，最后才敲定m3。"
酒店,0,设施很旧，但是可以用服务弥补。遗憾的是服务一般，前台不会微笑。后来住了百灵国际公寓，价格不仅便宜，服务更是好很多。需要改进。
平板,0,相素太低，速度也很慢
酒店,1,就在崇圣寺后面，酒店环境不错，但硬件设施比较陈旧。地理位置离景点近，但离市区较远，希望酒店能多为客人提供交通上的便利，比如多发班车之类的。
酒店,0,房间隔音实在太差，不单隔壁，感觉整层都能听到。半夜被男女欢愉声吵醒，影响休息
平板,1,可以可以一般般可以一般般
水果,1,很好！单果有150克左右！蛮好的！好吃！好次
洗发水,1,清扬男士，去油效果好，洗完很清爽…一直再用……
洗发水,0,东西用着跟以前买的不一样，洗发液很稀，而且不出泡沫。很失败的一次购物，一直都很信任京东， 这次定的洗发液真心不怎么样。没经过专业鉴定不能信口开河的说是假货。只能说跟以前用过的不一样，差好多！
水果,0,包装破的，苹果好几个坏的，有的还很脏，味道特酸，个头不大歪瓜裂枣！
酒店,0,"发票上打身份证信息,水单上打信用卡信息,易泄露客户隐私。"
洗发水,0,已经被打开过，瓶口已经漏出来了，和超市买的完全不一样
平板,0,手机打电话时噪声有点大，打电话给客服也说不出为啥有电流震荡的声音。京东连着两次买的东西都很失望
洗发水,0,一点也不好用，每次都挤好多，涂完一点效果都没有，一点也不像护发素，怀疑买到了假的东西，差评差评！！！！！！！
洗发水,1,一起买了两套，还以为很多，感觉挺好，用用看！
衣服,0,穿着不太舒服 裤子也大了
酒店,0,属于政府招待所，酒店设施非常一般，服务态度也不太令人满意，房间的床上用品不干净，枕套居然是有大面积油渍的，换了一个居然还是一样，床单下有很多头发，被罩上还有零星的血渍，早餐质量太差，天天一样，令人没有食欲，18元的早餐也就是喝碗粥，吃个鸡蛋。希望邯郸地区的酒店能够尽量提高质量和服务水平
酒店,0,晚上到的酒店，大堂灯都关了，来客人还舍不得开，打手电开的房，绝了！前脚刚进房间后脚按摩电话就打进来，牛叉！社会主义好啊！
酒店,0,位置离车公庙地铁站很近， 前台服务态度很好，但是效率太慢，入住时要10多分钟， 退房也要5分钟， 实在需要改善。早餐种类太少，以此早餐价实在是太不化算。房间设施没有刮胡刀，也没有润肤液，深圳此价位的酒店大多都有，同价位的酒店选择也很多，无必要再选这间。
洗发水,1,清扬洗发水收到了，有活动买的满99返50，太合适了！比在超市买还便宜了！送货师傅及时送货！太感谢了！以后就来京东了！
酒店,0,"给父母订的~回来说房间远不及盛华的,早餐也不行.唯一好的就是在风景区内了~"
水果,0,一点都不值，小的不知怎么说了，市场才十块两个
衣服,1,买3免1抢的，非常划算，质量还可以
洗发水,1,东西是正品蛮好的，第一次用京东，服务好送货快！而且快递小哥大中午的那么热还亲自送到家门口！比某某网站快递公司快递员好百倍千倍。。
蒙牛,1,好喜欢蒙牛的新包装！！！
酒店,1,标准的商务酒店，最大的优点就是位置好。房间比较干净，设施还行，但有些细节还需要改进。楼层服务员很不错（上次住的6楼，在这里表扬一下这位服务员），收拾房间，做清洁很及时，认真，走的时候有东西忘了，追了我好长一段距离告诉我。最近浦东大道修路，附件象个打工地。
洗发水,0,怀疑是否买到是假货 洗后头发打结 发质粗硬 望京东检测
洗发水,0,京东的用户体验越来越差，每次快递都不送货上门，需要自己去取……再也不想用京东了
酒店,1,国庆期间携程特价入住该酒店豪华房，这是第一次入住沈阳的该酒店，以前一直入住青年公园附近的凯宾斯基，有以下几点印象——1、从硬件设施来讲，黎明酒店非常不错，和凯宾斯基有一比，比我们上海的五星酒店的硬件都要好，特别是卫生间，明亮、宽敞、干净；2、虽然环境略显荒凉，但距离沈阳的中街商业区步行也只需25分钟，交通很方便；3、从软件来讲，携程预定时标明房间的宽带是免费的，可是入住后发现要收费，随即与携程取得联络，告知免费（这里表扬一下携程，有职业操守！很好！）；4、不过入住酒店后发生了一件本来很不愉快地经历，让我差一点从此放弃日后入住该酒店；由于我的老父亲头发乌过了，因此，弄脏了酒店的枕套，客房清理人员随即让我赔偿50元，这是我第一次入住五星级酒店让我赔偿，在结账时告知了前台，并打算把那个天价枕套拿走留个纪念，也许前台的小姐也觉得实在不好意思，随即不知道和谁打了电话，告知不用赔偿了，并诚恳地向我表示希望下次继续入住黎明酒店。我这里并不是说这区区50元，只是这50元背后显示了酒店的服务意识和服务理念。沈阳的经济虽然落后，但服务行业的服务态度普遍不好，但这次入住黎明酒店使我明显感觉到了沈阳这个最大的东北城市的服务意识与服务态度的提高。相比较而言，服务行业服务最好的城市当首数深圳市，就连上海都没法和深圳比，但尽管如此，上海仍然可以排在第二位，但与深圳的服务质量的差距很大；沈阳和北京的服务态度其实差不多，但这次入住黎明，使我感受到了一点不一样，也许我们的老工业基地真的在发生巨变。希望如此！再多说一句，服务行业，服务的态度和质量是服务行业的生命！通过这次入住，赞扬携程、赞扬黎明酒店。
酒店,0,很一般。性价比很差。跟上海的快捷酒店相比，价格贵，服务差；外面空气不错。但是内部装修亟待改善；窗户的高度太低，不小心会摔下去；令人匪夷所思的是，订的是大床房，但是床却是坏的；感觉很不好。
平板,1,不错儿子非常满意喜欢
衣服,0,褪色严重，只想说价格欺骗…………
平板,0,分辨率太低，相素太差了与描述不符。
酒店,0,无论从任何角度讲，该酒店最多只能评为2星级。携程首先推荐该酒店，我认为只有一个原因：酒店的返点最高？补充点评 2008年3月11日 ： 教训！
计算机,0,1：USB，网口，电源口全在左边，不习惯。 2：电源适配器噪声太大，烫手 3：没送鼠标
平板,0,买完没几天就降价，无语。
衣服,0,不知道为什么味道大的不是一点儿半点儿，本来以为洗一下就好了，现在洗了好几遍了还是味道很大
水果,0,都是烂的啊，妈蛋，一看就知道放几个月了
酒店,1,地理环境不错，但对面一直在盖楼，门前的街道打车不方便。
计算机,0,重了点，镜面屏容易在上盖留下指纹和划痕，送的瑞星杀毒软件报密码不对，不知道咋搞得
水果,0,非常非常难吃，又苦又酸，喜欢重口味的可以试试，以后再也不到京东上买水果了
酒店,0,1、车到酒店门口，没找到酒店，原来身边满是脚手架的大楼工地就是酒店，胆战心惊的走入，前台很破旧，很难想象是四星级的酒店。2、我住公寓套房，好像19楼，几部电梯只有一步到达，换了隔壁电梯才行，楼上走道昏暗，长长走廊，只有一两盏灯，，一出电梯眼睛要过一会儿才能看清东西，太省钱了吧。3、上午入住，电钻声不断，楼下房间原来在装修，携程也不事先告知，我晕！！！4、客厅较大，但太空了，只有沙发，却没有电视机，原来是叫人坐那里发呆的。5、洗澡没热水，一问，原来不是统一热水，而是电淋浴器，烧一桶要好长时间，一个晚上到第二天早上也没有热水出来，服务员说不知道为啥这样，四星级的无热水待遇，澡当然没洗，退房时心理和身上都发痒....6、口渴了烧水喝，电热水壶也坏的，打电话要换一个，说库房下班了，那是晚上八点多吧，从哪里变不出来一个？其他没人住的房间，你们经理的办公室...总能解决吧，不行烧一壶水上来也行啊，可他们就不理你，我只能跑到街上买水喝了！！7、所有家具设备都是陈旧的我想大家也会理解我的感受，我平时住店一般会先来看看众兄弟的网评，不好决不敢住。这次行程匆忙，是在路上电话预订的，酒店是携程反复向我推荐的，我才上了当，如果携程以后光注重经济效益而不注重酒店本身的品质，推荐这样的酒店，我看是要砸牌子的，毕竟你们也有竞争者的。补充点评 2007年5月2日 ： 再补充一点，宽带速度“奇快”，两个笔记本上网，一个酒店宽带，一个CDMA掌上宽带拨号上网，在联众打游戏，有线的网速还比不过无线的，还掉了几次线，送了人家好多分，呜呜...
酒店,1,第二次入住，蛮好的酒店。总的来说。在国内算不错的公寓式酒店。
水果,0,这是什么苹果 我这么文明的人真想爆粗口 这还怎么吃 买了一个星期 才到 这物流真是醉了 再也不买你家的苹果了 恶心 弄几个破苹果 放的箱子里给我送过来了 草尼吗的
洗发水,1,这次购买的是套装，参加活动后力度还是比较大的。
书籍,1,她的诗，看似平凡却美丽无比，看是平淡却可以引起你内心的共鸣！多么奇妙的事啊，竟会如此，看了她的诗作后，我的心灵感到从未有过的宁静，我的心不在寂寞……千言万语都无法道尽我对它的喜爱，我因它而疯狂地想读更多的诗，我因它而无比地喜欢诗，我甚至喜欢上自己些诗，从此，我感觉我的生活也可以如此诗意，我的人生也会因此而增色不少。感谢有你。
书籍,0,为什么不认真的检查一下， 发这么一本脏脏的书给顾客呢！
书籍,0,我觉得这本书完全不适合我，看完了也影响不了我的一生
酒店,1,酒店的房间太小了，一点没有5星酒店的感觉。前台给人的感觉好像是3星酒店。不过服务员的态度还是很好的！
计算机,1,电池好，屏幕好 漂亮 实测上网、聊天的话可以坚持6个半小时，还不错
酒店,1,早餐是中式，有些东西很奇怪。住店停车还收费，不应该。
平板,1,送了这么久了，不错的。支持华为
洗发水,0,第一次买，冲着资生堂的牌子来的，结果好失望啊，相当不好，洗了感觉头发都油乎乎的，比没洗还糟糕，都不知道是质量问题还是非正品，好郁闷啊！
酒店,0,"这个店太差房间有霉味,最不能忍受的是前台工作效率极低极低!"
衣服,0,真该相信差评里说的，没想到掉色掉的无与伦比。买回来没穿就发现掉色，洗了之后觉得应该没事了，没想到，脚从裤筒里伸出来时脚都黑了?
手机,0,不支持全屏播放；摄像头没有提供闪光灯的支持；TF存储卡不支持热插拔；不支持蓝牙传输功能。
洗发水,0,买了就降价，还618
洗发水,1,第四次购买了，很好用。 相信京东
衣服,0,真心很难看。。。。
水果,1,份量正好，苹果的尺寸与描述的一样，个不大，75mm确实没多大。糖分高，但因保存时间有点长了，水分散发了些，没有那么脆了。包装很好，有两层网套着，即便有空隙也没有一个搁坏的。送货很及时，头天订货第二天就收到。
酒店,0,走廊上极噪 估计是乌合之众的住所 根本没睡好 害得我考试时候晕糊糊的
衣服,1,裤子其实不错 合身 店家服务态度也很好 五星好评
洗发水,1,我一直在用这个牌子，但是在京东购买还是第一次，看上去还可以，还没用等用了再追加评论
洗发水,1,我喜欢在京东上买东西，尤其是京东的自营店，今天下单，明天就能收到货，不用焦急的等待发货，不用时不时的就查看物流信息，京东的送货员更加要给他们点赞，服务很OK，东西都是要送到本人手上的，很让人放心！相信京东的东西都是正品，会一如既往的来光顾的！
手机,0,多得不知道说什么了啊质量不好性能不好不能下载反正都不好啊
书籍,1,第一次看到青山七惠的《一个人的好天气》是《青年文摘》上的一段节选，当时就觉得笔下的文字如涓涓小河流淌进心里，淡淡的名单是挥之不去。第一天拿到书的时候，一个人坐在图书馆的沙发上，读着读着就忘了时间，不自觉的觉得自己就是女主角，一起经历着这一年的春夏秋冬欢笑痛苦哀伤，五味陈杂生活就是这样，慢慢流淌，遇到该遇到的人又各奔东西，留下无尽的怀念和记忆，美好而感动
酒店,0,硬件差，环境一般，卫生差，没得可说的
平板,1,看视频看漫画真的很爽呀，拿着也不会很累，对我这种近视又不喜欢戴眼镜的人真是太好用了。
洗发水,1,价格划算，用着舒服赠送的小样旅游带着特别方便
洗发水,0,用了几天，感觉没什么效果，头发还是掉的厉害！
水果,0,不想多说什么，找客服，爱理不理的态度，直接上图！怀疑那么多好评的真实性～
平板,0,质量有问题，刚5天就黑屏
平板,0,没发票，快递小哥很给力。
书籍,1,儿子在刚拿到这套书的时候只是随便看了一眼就放下了，过了几天我看了一遍，发现里面的图画非常生动，每一张图里的信息都非常多，每一只小鸡的表情都不一样，我让儿子看，儿子一下就喜欢上了，一口气让我把6册都讲完，现在每天都要让我讲一遍，他最喜欢卡门，并且还不时指指点点：“看把小羊贝里奥吓的。”我认为这套书的图画真的很棒。又给儿子买了第二辑，在路上，希望一样精彩！
酒店,1,"该酒店硬件与福州\厦门挂三酒店相比差不多,酒店外围绿化环境比别的酒店要大,停车场很宽阔,最让我满意的是酒店介绍的散客自驾游经济\宽松很适合我们散客自助的需求 入住武夷山酒店愉快心情也和这两天的股市大涨分不开的 我个人建议大家到武夷山可以考虑入住这家酒店"
热水器,1,第二次买了，自己买了配件，很划算，热水器经济实惠 好用！全5分
酒店,0,房间很潮很臭，空调声音很大，效果差！水也很小，房间内只有一个插座且是松动的！早餐贵且不好，品种少，口味差！另外，离地铁口远！
水果,1,送货挺快，送货的小哥态度也好！包装也不错，美中不足是苹果有一点碰伤，不过销掉皮以后还好。
酒店,1,定了三间标间，入住时发现被安排在二号楼的底楼。进去了感觉不错：宽敞，清洁，无异味。最让人满意的是：整个晚上几乎听不到外面的声音，真是安静。山庄地理位置合理，到灵隐，太子湾，西湖苏堤，虎跑等地非常方便，处在这些景点的中心。环境幽、雅、静是主要特点。好了不说了，再说就会被怀疑为托了。
水果,0,这是大果吗！那幺小！还没有水果店买的好！
衣服,1,新的旧的一共十几件，还有一些在衣柜里面，我还是喜欢前面有个标志的那一件。感觉那个布料更柔软，更舒服。不过现在好像没有了
衣服,0,加绒，绒在哪里
衣服,0,衣服质量一般
水果,0,皮都干了。。味道全无。。。在京东买了那么多东西。。。就这次评差    因为想尝一下味道。。故没有退货！
酒店,0,总体感觉一般。65分
衣服,0,垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾
计算机,1,"价格比市场上要便宜300左右,外观大气,颜色大气,比较商务,我喜欢. 关于大家说的驱动问题,可以在惠普官方网站上找到,我1个小时就搞定换成XP系统了:"
平板,1,不错，正是自己想要的
洗发水,1,洗后头发顺滑，有独特的香味。好好好
水果,0,苹果好多是坏的，不建议购买。好差的一次购物体验。太失望了
衣服,0,码偏小啊?‘
书籍,1,"春天的季节,没有什么比鸟儿的欢歌更美的声音了.这本小册子图文并茂,带在身边,随时可以识别我们可爱的小精灵,快乐的招呼一声:你好.连并着想到故宫的乌鸦都有了欢喜的感觉.珍惜我们还有这些可爱的朋友,如果看了<寂静的春天>,你一定会感叹错过了永远的失去了,鸟儿.带一本小册子,可以传阅给你的朋友,分享拥有春天般美丽的心情,象鸟儿一样放飞自己.热爱生活,热爱生命."
平板,0,买东西看评论上当了！看有3万多好评！昨天买了今天到货用一天就感觉不爽！功能不是那么强大还什么都不送说是平板电脑其实就是一个手机和电脑根本不沾边！！！更可气的是昨天买*垃圾以后再不买这个牌子的所有东西！！！！！
洗发水,1,气味芳香，洗完头柔顺，去屑止痒，
洗发水,1,第一次使用，朋友推荐的！包装完好！快递很给力
洗发水,1,老婆说好香，用着还挺好，就是没找到限用日期在哪里，有知道的吗，两大两小，还有个赠品小瓶的总共五瓶都是同一种，弄成不同种类的该多好呀
洗发水,0,用着一般，洗完头感觉好油 也没有说的那么好
平板,1,音质很好，老公喜欢的不得了！速度也很快！值得推荐！
酒店,1,"总体来说还可,主要是正好去办事情，方便.以后基本还是住这"
水果,1,***，还算甜，，还不错吧，，好吃以后再买。。
衣服,0,好像尺码有点问题，而且基本确定是假货
计算机,1,总是Thinkpad系列的，系统的稳定性比较好，散热也做得不错，VISTA界面很漂亮。
洗发水,0,好假，生姜的没有一点生姜的香味和辣味，以后都不敢买了
平板,1,不错，给弟弟买的，他很满意，送货速度也很快，昨天下午下单，今天上午就到了。
酒店,1,总的来说还可以，不过不知是否我比较幸运，拿到的房间电话线路有问题，用不了。钥匙卡又插不进那孔，搞到要把梳子插进去取电。泳池、羽毛球场等设施看来是时候保养或更新一下了。另外碰巧有会议召开，停车场也差不多满位了。
蒙牛,0,我们要疯狂一次！！！ @蒙牛提不起精神
水果,0,我经常在京东上买东西，这次太让人失望了！说好红色，打开一看是白色的！联系客服问情况，问几句半天才回一句！还说不出个结果！一直推着！
洗发水,1,6.18那天下的单，昨天才收到！还没用，感觉挺好的，以前一直都用这个牌子，用后再来评价……
平板,1,评价晒单，为了得耳机，会不会发给我哟
洗发水,1,好用，价格划算，有活动下次一定还买
计算机,0,预装的vista速度让人不爽 而且键盘感觉有点软 外壳感觉不是那么结实 好像很薄一样
酒店,1,不能给人什么深刻印象，老五星，价格比较低。。。可以入住。。
平板,0,发了一个坏的冲电器郁闷
书籍,0,贵公司14号发出，为什么到今天还没收到呢？今天已经是26号了.12天了，还没收到书。
洗发水,1,是正品。和我在远大购物中心买的是一样的！已经是第，n次购买了
酒店,0,酒店历史悠久，但设备陈旧，还发现蟑螂。四星级名不其实。在上海住过性价比最差的酒店。
洗发水,1,京东超市发货快，辛苦快递小哥了，VS大品牌值得信赖的！
平板,0,期间客服来了两次电话，包括晚上快11点还打来了一次，苦苦央求我把退货改成了换货。
水果,1,真心不错 新鲜 酸甜 多汁 脆 口感好?
衣服,1,裤子收到了 质量真的挺好的 很喜欢 下次再来买
洗发水,1,相信京东，快捷方便，生活好帮手，离不开的生活助手，正品有保障，优惠多多，每天都能发现新乐趣，选品牌选京东！
平板,0,买给妈妈用的，说好的发票结果没有开，一直没收到，联系客服没有用一直说开了，但问题是我没收到，里里外外都翻遍了，这点让我很不爽
洗发水,0,假的吧，洗了头痒！正品不会这样的，本来很信任京东的，没想到也是假货遍地！
酒店,0,公家的酒店，政府机关出差指定的宾馆。到机场很方便，每半个小时班车接送。设施陈旧，房间地毯很脏，卫生间金属生锈。房间里和班车上都是烟味，不开窗户无法呼吸。房间里的无线网大部分时间都不能用，只能去大厅用无线网。客服和大巴司机的态度都很冷漠。就冲着没有无线网这一点，不推荐大家住。
酒店,1,"酒店很好,房间挺大,服务态度特别好.地点也很好,很方便."
衣服,0,衣服上有破洞
书籍,1,本来是冲着那个一人一万元去买这本书的很想知道会是什么内容的书会让大家哪么感动并想把他排成电影看完之后也的确是感触非常虽然觉得那个笑着活下去的续其实没有必要去写但是既然大家哪么捧场还是说明了 在战后那个年代坚持 信念还有乐观的心情是多么的重要简单的生活确有滋有味我相信 如果我是这位阿妈养大的哪么也觉得会是个问心无愧的人所以 是本好书
